Name_Console,Name,Platform,Publisher,Genre,Release_Year,Release_Month,First_Week,Total_Sales,Critic_Score,User_Score
The Legend of Heroes: Trails in the Sky Third Chapter (PSP),The Legend of Heroes: Trails in the Sky Third Chapter,PSP,Falcom Corporation,Role-Playing,2008,7,43682.0,43682.0,N/A,N/A
The Legend of Heroes: Trails of Cold Steel III (PS4),The Legend of Heroes: Trails of Cold Steel III,PS4,Nihon Falcom Corporation,Role-Playing,2017,9,92129.0,92129.0,7.0,N/A
The Legend of Legacy (3DS),The Legend of Legacy,3DS,FuRyu,Action,2015,1,54887.0,54887.0,N/A,N/A
The Legend of Zelda: A Link Between Worlds (3DS),The Legend of Zelda: A Link Between Worlds,3DS,Nintendo,Action,2013,11,438509.0,1620605.0,9.3,N/A
The Legend of Zelda: Breath of the Wild (NS),The Legend of Zelda: Breath of the Wild,NS,Nintendo,Action-Adventure,2017,3,1177182.0,2251900.0,9.2,N/A
The Legend of Zelda: Breath of the Wild (WiiU),The Legend of Zelda: Breath of the Wild,WiiU,Nintendo,Action-Adventure,2017,3,486426.0,879338.0,10.0,10.0
The Legend of Zelda: Majora's Mask 3D (3DS),The Legend of Zelda: Majora's Mask 3D,3DS,Nintendo,Action,2015,2,897644.0,1545966.0,,
The Legend of Zelda: Ocarina of Time 3D (3DS),The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo,Action,2011,6,284687.0,808157.0,9.5,N/A
The Legend of Zelda: Phantom Hourglass (DS),The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Adventure,2007,6,457732.0,720892.0,9.1,N/A
The Legend of Zelda: Skyward Sword (Wii),The Legend of Zelda: Skyward Sword,Wii,Nintendo,Action,2011,11,280991.0,2721157.0,9.4,N/A
The Legend of Zelda: Spirit Tracks (DS),The Legend of Zelda: Spirit Tracks,DS,Nintendo,Adventure,2009,12,402085.0,1733435.0,8.7,N/A
The Legend of Zelda: The Wind Waker HD (WiiU),The Legend of Zelda: The Wind Waker HD,WiiU,Nintendo,Action,2013,9,30779.0,383230.0,,
The Legend of Zelda: Twilight Princess (Wii),The Legend of Zelda: Twilight Princess,Wii,Nintendo,Adventure,2006,11,432864.0,1810937.0,9.5,9.6
The Legend of Zelda: Twilight Princess HD (WiiU),The Legend of Zelda: Twilight Princess HD,WiiU,Nintendo,Action,2016,3,428776.0,673712.0,8.4,N/A
The Lord of the Rings: Conquest (PS3),The Lord of the Rings: Conquest,PS3,Electronic Arts,Action,2009,1,80556.0,129941.0,5.8,N/A
The Lord of the Rings: Conquest (X360),The Lord of the Rings: Conquest,X360,Electronic Arts,Action,2009,1,108380.0,211520.0,5.9,N/A
The Lord of the Rings: War in the North (PS3),The Lord of the Rings: War in the North,PS3,Warner Bros. Interactive Entertainment,Action,2011,11,74093.0,74093.0,6.5,N/A
